date,open,high,low,close,volume,hold,settle
2024-05-09,112500.0,113450.0,110050.0,111700.0,136072,193390,111850.0
2024-05-10,111900.0,112500.0,107200.0,108350.0,202809,195326,109450.0
2024-05-13,107550.0,108500.0,106000.0,107100.0,129937,198230,107200.0
2024-05-14,106750.0,108900.0,104000.0,105000.0,214774,198922,106300.0
2024-05-15,105000.0,105900.0,101650.0,103000.0,178905,201318,103600.0
2024-05-16,103800.0,104950.0,103150.0,104000.0,100717,197287,103900.0
2024-05-17,104500.0,107300.0,104500.0,106450.0,147292,184611,106000.0
2024-05-20,107600.0,108400.0,105400.0,106000.0,123219,184221,106700.0
2024-05-21,106300.0,109450.0,105750.0,106700.0,186216,178009,107250.0
2024-05-22,107000.0,107900.0,105750.0,106400.0,93785,180239,106900.0
2024-05-23,105400.0,106500.0,103500.0,106150.0,120764,173259,105200.0
2024-05-24,106500.0,107900.0,105900.0,107600.0,119418,168876,107000.0
2024-05-27,107600.0,108500.0,105500.0,106200.0,95800,171639,106800.0
2024-05-28,107300.0,107750.0,104750.0,105000.0,114804,170519,106350.0
2024-05-29,104850.0,105900.0,103800.0,105200.0,94508,166699,104900.0
2024-05-30,106000.0,107750.0,104900.0,106000.0,129912,162442,106200.0
2024-05-31,106000.0,107200.0,104200.0,104850.0,102574,161329,105700.0
2024-06-03,104000.0,104500.0,101050.0,102700.0,134238,165260,102850.0
2024-06-04,102700.0,103400.0,101400.0,101850.0,80207,168086,102300.0
2024-06-05,101900.0,102350.0,99250.0,99800.0,122591,168133,100350.0
2024-06-06,100300.0,101350.0,99300.0,101150.0,95005,159275,100450.0
2024-06-07,102000.0,102350.0,99800.0,100050.0,92938,154804,100750.0
2024-06-11,100000.0,100300.0,96750.0,97000.0,104245,152300,98250.0
2024-06-12,97500.0,98500.0,95200.0,98450.0,143742,140001,96700.0
2024-06-13,98200.0,99300.0,96050.0,97800.0,125979,131634,97900.0
2024-06-14,97800.0,98250.0,96250.0,96900.0,79212,126620,97200.0
2024-06-17,96500.0,97100.0,95500.0,95800.0,77371,121045,96300.0
2024-06-18,96500.0,97050.0,92700.0,92800.0,119713,115233,94500.0
2024-06-19,93350.0,94500.0,92500.0,94000.0,82575,103750,93500.0
2024-06-20,94000.0,94950.0,93400.0,94400.0,61431,95216,94150.0
2024-06-21,94600.0,95550.0,91800.0,91900.0,89876,87161,93650.0
2024-06-24,91150.0,92500.0,87650.0,88550.0,93395,73742,89750.0
2024-06-25,88600.0,90600.0,86000.0,90250.0,114695,56844,88050.0
2024-06-26,91000.0,93600.0,88950.0,92550.0,119386,40943,91450.0
2024-06-27,96650.0,96900.0,94300.0,94600.0,150614,142021,95500.0
2024-06-28,94000.0,95500.0,93100.0,94500.0,176810,151305,94200.0
2024-07-01,93800.0,95800.0,91350.0,95650.0,186860,161162,93300.0
2024-07-02,95400.0,96250.0,93800.0,94050.0,140825,166674,94850.0
2024-07-03,94000.0,95450.0,93100.0,94550.0,135067,169401,94400.0
2024-07-04,95100.0,96100.0,93650.0,93950.0,140991,174503,94750.0
2024-07-05,93550.0,95150.0,92200.0,93900.0,143190,168777,93900.0
2024-07-08,94200.0,95150.0,93200.0,93650.0,129708,173942,94000.0
2024-07-09,93450.0,94800.0,92850.0,94150.0,131239,170658,93900.0
2024-07-10,93900.0,94400.0,91600.0,91800.0,149171,176216,93100.0
2024-07-11,92000.0,92900.0,90300.0,92500.0,155537,169488,91850.0
2024-07-12,92500.0,93000.0,91000.0,91350.0,95103,170948,91650.0
2024-07-15,90800.0,91450.0,87950.0,87950.0,163344,186340,89650.0
2024-07-16,87900.0,89300.0,87100.0,88800.0,139709,183897,88250.0
2024-07-17,89000.0,89500.0,86800.0,86850.0,122188,189619,88000.0
2024-07-18,86500.0,88800.0,86450.0,87950.0,116472,188020,87300.0
2024-07-19,87500.0,90550.0,87300.0,89800.0,227163,188958,89000.0
2024-07-22,88900.0,89450.0,88200.0,88950.0,103539,189656,88750.0
2024-07-23,88850.0,90350.0,87500.0,87900.0,142439,186336,88850.0
2024-07-24,88250.0,88500.0,86500.0,86900.0,131926,188091,87200.0
2024-07-25,86300.0,87350.0,85000.0,87050.0,141988,188050,86150.0
2024-07-26,87800.0,88300.0,85850.0,85850.0,117347,193373,86900.0
2024-07-29,85750.0,86450.0,83200.0,83400.0,162135,207937,84700.0
2024-07-30,83650.0,84000.0,80700.0,81150.0,181988,215920,81900.0
2024-07-31,82000.0,84100.0,81800.0,82700.0,191801,209232,82750.0
2024-08-01,83200.0,83900.0,80450.0,80850.0,172722,222825,81750.0
2024-08-02,80200.0,82150.0,79600.0,81000.0,179822,215611,80700.0
2024-08-05,80200.0,82450.0,80000.0,81500.0,161386,210593,81150.0
2024-08-06,82000.0,82200.0,80900.0,81250.0,112245,207139,81500.0
2024-08-07,81850.0,81850.0,80100.0,80300.0,90947,209655,80650.0
2024-08-08,80600.0,80600.0,78400.0,78500.0,137278,219537,79400.0
2024-08-09,79100.0,79800.0,77500.0,77550.0,150525,221881,78650.0
2024-08-12,77950.0,78000.0,75900.0,76000.0,112956,230478,76900.0
2024-08-13,76100.0,77800.0,75500.0,77000.0,198114,221774,76650.0
2024-08-14,76800.0,77100.0,72800.0,73450.0,216635,230303,74800.0
2024-08-15,73600.0,73700.0,71800.0,72400.0,212442,229864,72650.0
2024-08-16,73200.0,74250.0,72400.0,72950.0,179002,225197,73250.0
2024-08-19,73350.0,73800.0,71700.0,73400.0,173315,226887,72800.0
2024-08-20,73400.0,75100.0,73100.0,75000.0,155457,227057,73950.0
2024-08-21,75500.0,78800.0,74250.0,77900.0,311907,224646,76700.0
2024-08-22,77450.0,77950.0,75000.0,75450.0,271095,220587,76400.0
2024-08-23,75250.0,75550.0,73100.0,73350.0,184257,217889,74150.0
2024-08-26,74000.0,75000.0,73350.0,74350.0,183293,221357,74150.0
2024-08-27,74600.0,76850.0,74350.0,76150.0,224363,222639,75650.0
2024-08-28,76000.0,76600.0,74300.0,75750.0,202705,227100,75500.0
2024-08-29,75950.0,78100.0,74700.0,76850.0,269825,236888,76550.0
2024-08-30,76850.0,79350.0,76550.0,78900.0,288902,232278,78250.0
2024-09-02,78250.0,78400.0,74550.0,75200.0,291828,229216,76550.0
2024-09-03,75300.0,75600.0,73650.0,74900.0,206102,233484,74600.0
2024-09-04,74050.0,74900.0,73200.0,73600.0,197297,234032,74000.0
2024-09-05,73500.0,73750.0,70300.0,70750.0,251520,245150,72250.0
2024-09-06,71600.0,72450.0,69700.0,71200.0,245768,239300,70750.0
2024-09-09,70300.0,73150.0,70150.0,73150.0,214357,234926,71350.0
2024-09-10,73200.0,73800.0,71700.0,72150.0,196239,236989,72700.0
2024-09-11,72900.0,79300.0,72900.0,78450.0,577307,254596,76650.0
2024-09-12,79600.0,79800.0,75350.0,76950.0,408382,246549,77300.0
2024-09-13,77800.0,78250.0,76200.0,77550.0,260115,239306,77150.0
2024-09-18,77550.0,77700.0,74550.0,75300.0,219265,231645,75650.0
2024-09-19,75500.0,76700.0,73700.0,75700.0,244398,226801,75150.0
2024-09-20,76250.0,76400.0,74200.0,75300.0,193963,225720,75250.0
2024-09-23,74800.0,76800.0,73200.0,74850.0,258432,221399,75150.0
2024-09-24,75150.0,77400.0,74550.0,76800.0,235393,231192,76150.0
2024-09-25,78100.0,80550.0,75700.0,76250.0,324539,240716,0.0
2024-09-26,76250.0,77300.0,75350.0,77050.0,208282,222721,76350.0
2024-09-27,77950.0,79100.0,76200.0,76950.0,285188,222019,77650.0
2024-09-30,79350.0,81000.0,77550.0,79750.0,346154,217601,79300.0
2024-10-08,81500.0,84800.0,76500.0,76650.0,381012,211822,80650.0
2024-10-09,76200.0,77750.0,75600.0,76400.0,176135,210574,76850.0
2024-10-10,76800.0,78000.0,73600.0,73700.0,219356,211131,76350.0
2024-10-11,74700.0,74800.0,72750.0,73900.0,192245,198642,73950.0
2024-10-14,74600.0,75150.0,72900.0,73100.0,179620,199837,73650.0
2024-10-15,73100.0,73900.0,72600.0,73400.0,120400,186900,73400.0
2024-10-16,73700.0,73700.0,71050.0,71150.0,133323,188680,72300.0
2024-10-17,71250.0,71900.0,68350.0,68600.0,146283,181603,70350.0
2024-10-18,69000.0,71950.0,68250.0,70650.0,190861,160820,70100.0
2024-10-21,74050.0,74750.0,72150.0,72450.0,205476,194121,73300.0
2024-10-22,72100.0,74250.0,71300.0,73750.0,247983,207436,73050.0
2024-10-23,74000.0,75300.0,73650.0,75250.0,284815,216843,74500.0
2024-10-24,75600.0,76000.0,73200.0,74200.0,243251,221888,74050.0
2024-10-25,74400.0,75550.0,74300.0,74700.0,239203,231011,74900.0
2024-10-28,75250.0,77350.0,75000.0,76600.0,305171,226101,76350.0
2024-10-29,76500.0,76800.0,74650.0,74900.0,227520,224862,76000.0
2024-10-30,74500.0,74850.0,72950.0,73850.0,228437,223987,73850.0
2024-10-31,74150.0,75450.0,73550.0,74850.0,259776,235041,74500.0
2024-11-01,74500.0,78000.0,74200.0,76500.0,405968,232925,76450.0
2024-11-04,76350.0,77600.0,76050.0,77250.0,245618,235708,76850.0
2024-11-05,77050.0,78300.0,76650.0,77350.0,312156,235236,77600.0
2024-11-06,77500.0,77500.0,74750.0,75900.0,317572,226178,76100.0
2024-11-07,75800.0,77150.0,75400.0,76850.0,195694,231268,76300.0
2024-11-08,77250.0,78950.0,76350.0,76400.0,312254,229434,77600.0
2024-11-11,76300.0,81050.0,75550.0,80950.0,388079,273799,78500.0
2024-11-12,80950.0,82500.0,80150.0,81150.0,492812,285848,81300.0
2024-11-13,82000.0,87100.0,81700.0,86500.0,664882,322905,84300.0
2024-11-14,86500.0,87600.0,80500.0,81000.0,855078,293494,84300.0
2024-11-15,80800.0,81300.0,77850.0,78300.0,545274,276214,79550.0
2024-11-18,78300.0,81200.0,77900.0,80950.0,409956,276906,79500.0
2024-11-19,81100.0,83550.0,80250.0,82650.0,554888,285988,81950.0
2024-11-20,82650.0,83650.0,81050.0,82700.0,527957,284814,82500.0
2024-11-21,82700.0,84250.0,81600.0,81950.0,429649,277950,82900.0
2024-11-22,81250.0,81500.0,79000.0,79500.0,392064,267851,80000.0
2024-11-25,80600.0,81300.0,79600.0,80350.0,306997,260097,80400.0
2024-11-26,80600.0,80800.0,78000.0,78650.0,328510,255424,79100.0
2024-11-27,79100.0,79300.0,78250.0,78500.0,211268,246898,78700.0
2024-11-28,78150.0,79100.0,76850.0,78500.0,309750,242286,78050.0
